Date,Open,High,Low,Close,Adj Close,Volume,Views
8/3/2018,69.459999,69.529999,67.769997,68.260002,68.260002,3959700,139
8/6/2018,69,69.68,67.599998,68.279999,68.279999,6847100,136
8/7/2018,68.550003,68.550003,64.400002,64.540001,64.540001,15395300,185
8/8/2018,64.150002,65.489998,63.93,65.150002,65.150002,8035300,156
8/9/2018,65.400002,66.480003,65.089996,66.059998,66.059998,6292200,130
8/10/2018,65.790001,67.220001,65.739998,66.82,66.82,6783100,132
8/13/2018,66.660004,67.349998,66.190002,66.339996,66.339996,3854000,140
8/14/2018,67.150002,67.379997,66.580002,66.980003,66.980003,3626300,145
8/15/2018,66.07,66.209999,62.259998,62.34,62.34,8720800,173
8/16/2018,62.869999,63.610001,62.25,62.310001,62.310001,6545500,1257
